state               ,district                  ,crop                         ,modal_price ,N      ,P      ,K      ,temperature ,humidity ,ph   ,rainfall
Andaman_and_Nicobar ,South_Andaman             ,amaranthus                   ,       7000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,banana_green                 ,       5000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,bhindiladies_finger          ,       7000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,bitter_gourd                 ,       7000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,black_pepper                 ,     120000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,bottle_gourd                 ,       3500 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,brinjal                      ,       7500 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,cabbage                      ,       6500 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,carrot                       ,      10000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,cauliflower                  ,      11000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,cluster_beans                ,       9000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,coconut                      ,       5600 , 21.98 , 16.93 , 30.59 ,      27.41 ,   94.84 ,5.98 ,  175.69
Andaman_and_Nicobar ,South_Andaman             ,colacasia                    ,       6000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,onion                        ,       3000 ,       ,       ,       ,            ,         ,     ,
Andaman_and_Nicobar ,South_Andaman             ,potato                       ,       3000 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Chittor                   ,tomato                       ,        620 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Chittor                   ,tomato                       ,        300 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Chittor                   ,tomato                       ,        760 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Kurnool                   ,bengal_gramgramwhole         ,       4600 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Kurnool                   ,jowarsorghum                 ,       1900 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,Kurnool                   ,paddydhancommon              ,       1950 ,       ,       ,       ,            ,         ,     ,
Andhra_Pradesh      ,West_Godavari             ,paddydhancommon              ,       1760 ,       ,       ,       ,            ,         ,     ,
Assam               ,Cachar                    ,lentil_masurwhole            ,       7000 ,       ,       ,       ,            ,         ,     ,
Assam               ,Cachar                    ,rice                         ,       2400 , 79.89 , 47.58 , 39.87 ,      23.69 ,   82.27 ,6.43 ,  236.18
Assam               ,Cachar                    ,rice                         ,       2800 , 79.89 , 47.58 , 39.87 ,      23.69 ,   82.27 ,6.43 ,  236.18
Assam               ,Darrang                   ,bitter_gourd                 ,       6400 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,bottle_gourd                 ,        850 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,brinjal                      ,        850 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,cabbage                      ,        350 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,carrot                       ,       1050 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,cauliflower                  ,       1450 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,cluster_beans                ,       4100 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,cucumbarkheera               ,       1550 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,field_pea                    ,       2900 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,french_beans_frasbean        ,       2250 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,green_chilli                 ,       3600 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,knool_khol                   ,        950 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,potato                       ,        650 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,pumpkin                      ,        650 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,raddish                      ,        850 ,       ,       ,       ,            ,         ,     ,
Assam               ,Darrang                   ,tomato                       ,       1150 ,       ,       ,       ,            ,         ,     ,
Assam               ,Dhubri                    ,black_gram_urd_beanswhole    ,       4400 ,       ,       ,       ,            ,         ,     ,
Assam               ,Dhubri                    ,green_gram_moongwhole        ,       6400 ,       ,       ,       ,            ,         ,     ,
Assam               ,Dhubri                    ,jute                         ,       2800 , 78.4  , 46.86 , 39.99 ,      24.96 ,   79.64 ,6.73 ,  174.79
Assam               ,Dhubri                    ,maida_atta                   ,       2370 ,       ,       ,       ,            ,         ,     ,
Assam               ,Dhubri                    ,mustard                      ,       2400 ,       ,       ,       ,            ,         ,     ,
Assam               ,Dhubri                    ,rice                         ,       4500 , 79.89 , 47.58 , 39.87 ,      23.69 ,   82.27 ,6.43 ,  236.18
Assam               ,Dhubri                    ,rice                         ,       2500 , 79.89 , 47.58 , 39.87 ,      23.69 ,   82.27 ,6.43 ,  236.18
Assam               ,Dhubri                    ,wheat_atta                   ,       2300 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,garlic                       ,       5000 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,green_gram_moongwhole        ,       6600 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,masur_dal                    ,       6200 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,onion                        ,       1200 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,potato                       ,        550 ,       ,       ,       ,            ,         ,     ,
Assam               ,Jorhat                    ,rice                         ,       3200 , 79.89 , 47.58 , 39.87 ,      23.69 ,   82.27 ,6.43 ,  236.18
Assam               ,Jorhat                    ,wheat_atta                   ,       2800 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,bitter_gourd                 ,       5500 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,brinjal                      ,       1300 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,cabbage                      ,        500 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,carrot                       ,       1000 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,cauliflower                  ,       1900 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,cucumbarkheera               ,       2000 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,garlic                       ,       4500 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,green_chilli                 ,       1600 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,onion                        ,       1100 ,       ,       ,       ,            ,         ,     ,
Assam               ,Kamrup                    ,potato                       ,        700 ,       ,       ,       ,            ,         ,     ,
