state,district,crop,modal_price
Andaman and Nicobar,South Andaman,Amaranthus,7000
Andaman and Nicobar,South Andaman,Banana - Green,5000
Andaman and Nicobar,South Andaman,Bhindi(Ladies Finger),7000
Andaman and Nicobar,South Andaman,Bitter gourd,7000
Andaman and Nicobar,South Andaman,Black pepper,120000
Andaman and Nicobar,South Andaman,Bottle gourd,3500
Andaman and Nicobar,South Andaman,Brinjal,7500
Andaman and Nicobar,South Andaman,Cabbage,6500
Andaman and Nicobar,South Andaman,Carrot,10000
Andaman and Nicobar,South Andaman,Cauliflower,11000
Andaman and Nicobar,South Andaman,Cluster beans,9000
Andaman and Nicobar,South Andaman,Coconut,5600
Andaman and Nicobar,South Andaman,Colacasia,6000
Andaman and Nicobar,South Andaman,Onion,3000
Andaman and Nicobar,South Andaman,Potato,3000
Andhra Pradesh,Chittor,Tomato,620
Andhra Pradesh,Chittor,Tomato,300
Andhra Pradesh,Chittor,Tomato,760
Andhra Pradesh,Kurnool,Bengal Gram(Gram)(Whole),4600
Andhra Pradesh,Kurnool,Jowar(Sorghum),1900
Andhra Pradesh,Kurnool,Paddy(Dhan)(Common),1950
Andhra Pradesh,West Godavari,Paddy(Dhan)(Common),1760
Assam,Cachar,Lentil (Masur)(Whole),7000
Assam,Cachar,Rice,2400
Assam,Cachar,Rice,2800
Assam,Darrang,Bitter gourd,6400
Assam,Darrang,Bottle gourd,850
Assam,Darrang,Brinjal,850
Assam,Darrang,Cabbage,350
Assam,Darrang,Carrot,1050
Assam,Darrang,Cauliflower,1450
Assam,Darrang,Cluster beans,4100
Assam,Darrang,Cucumbar(Kheera),1550
Assam,Darrang,Field Pea,2900
Assam,Darrang,French Beans (Frasbean),2250
Assam,Darrang,Green Chilli,3600
Assam,Darrang,Knool Khol,950
Assam,Darrang,Potato,650
Assam,Darrang,Pumpkin,650
Assam,Darrang,Raddish,850
Assam,Darrang,Tomato,1150
Assam,Dhubri,Black Gram (Urd Beans)(Whole),4400
Assam,Dhubri,Green Gram (Moong)(Whole),6400
Assam,Dhubri,Jute,2800
Assam,Dhubri,Maida Atta,2370
Assam,Dhubri,Mustard,2400
Assam,Dhubri,Rice,4500
Assam,Dhubri,Rice,2500
Assam,Dhubri,Wheat Atta,2300
Assam,Jorhat,Garlic,5000
Assam,Jorhat,Green Gram (Moong)(Whole),6600
Assam,Jorhat,Masur Dal,6200
Assam,Jorhat,Onion,1200
Assam,Jorhat,Potato,550
Assam,Jorhat,Rice,3200
Assam,Jorhat,Wheat Atta,2800
Assam,Kamrup,Bitter gourd,5500
Assam,Kamrup,Brinjal,1300
Assam,Kamrup,Cabbage,500
Assam,Kamrup,Carrot,1000
Assam,Kamrup,Cauliflower,1900
Assam,Kamrup,Cucumbar(Kheera),2000
Assam,Kamrup,Garlic,4500
Assam,Kamrup,Green Chilli,1600
Assam,Kamrup,Onion,1100
Assam,Kamrup,Potato,700
Assam,Kamrup,Pumpkin,900
Assam,Kamrup,Raddish,1100
Assam,Kamrup,Ridgeguard(Tori),4100
Assam,Kamrup,Tomato,1450
Assam,Sonitpur,Arecanut(Betelnut/Supari),2200
Assam,Sonitpur,Arhar (Tur/Red Gram)(Whole),5850
Assam,Sonitpur,Brinjal,750
Assam,Sonitpur,Cabbage,700
Assam,Sonitpur,Green Chilli,2000
Assam,Sonitpur,Jute,3900
Assam,Sonitpur,Maize,1800
Assam,Sonitpur,Mustard,4100
Assam,Sonitpur,Rice,2400
Assam,Sonitpur,Rice,2800
Chattisgarh,Bastar,Dry Chillies,4200
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500
Chattisgarh,Kanker,Paddy(Dhan)(Common),1500
Chattisgarh,Surajpur,Groundnut,4900
Goa,North Goa,Arecanut(Betelnut/Supari),19500
Goa,North Goa,Arecanut(Betelnut/Supari),22250
Goa,North Goa,Arecanut(Betelnut/Supari),20500
Gujarat,Amreli,Bhindi(Ladies Finger),1550
Gujarat,Amreli,Brinjal,1100
Gujarat,Amreli,Capsicum,1300
Gujarat,Amreli,Guar,1600
Gujarat,Amreli,Lemon,1300
Gujarat,Anand,Bajra(Pearl Millet/Cumbu),2080
Gujarat,Anand,Bajra(Pearl Millet/Cumbu),2015
Gujarat,Anand,Castor Seed,4870
Gujarat,Bharuch,Bhindi(Ladies Finger),3425
Gujarat,Bharuch,Bottle gourd,1850
Gujarat,Bharuch,Brinjal,650
Gujarat,Bharuch,Cabbage,925
Gujarat,Bharuch,Capsicum,2600
Gujarat,Bharuch,Carrot,825
Gujarat,Bharuch,Cauliflower,1100
Gujarat,Bharuch,Coriander(Leaves),825
Gujarat,Bharuch,Cowpea(Veg),3425
Gujarat,Bharuch,Cucumbar(Kheera),2175
Gujarat,Bharuch,Drumstick,3475
Gujarat,Bharuch,Elephant Yam (Suran),2825
Gujarat,Bharuch,Ginger(Green),6100
Gujarat,Bharuch,Green Chilli,3000
Gujarat,Bharuch,Indian Beans (Seam),1450
Gujarat,Bharuch,Lemon,3700
Gujarat,Bharuch,Methi(Leaves),825
Gujarat,Bharuch,Onion Green,1225
Gujarat,Bharuch,Peas cod,1325
Gujarat,Bharuch,Pegeon Pea (Arhar Fali),3475
Gujarat,Bharuch,Sponge gourd,1500
Gujarat,Bharuch,Surat Beans (Papadi),2450
Gujarat,Bharuch,Sweet Potato,2900
Gujarat,Bharuch,Tinda,3150
Gujarat,Bharuch,Tomato,1425
Gujarat,Kachchh,Guar Seed(Cluster Beans Seed),4010
Gujarat,Kheda,Potato,700
Gujarat,Kheda,Sweet Potato,1450
Gujarat,Panchmahals,Arhar (Tur/Red Gram)(Whole),4850
Gujarat,Panchmahals,Cotton,4550
Gujarat,Panchmahals,Maize,1900
Gujarat,Panchmahals,Paddy(Dhan)(Common),1525
Gujarat,Panchmahals,Wheat,1900
Gujarat,Panchmahals,Bajra(Pearl Millet/Cumbu),1800
Gujarat,Panchmahals,Maize,1850
Gujarat,Panchmahals,Paddy(Dhan)(Common),1425
Gujarat,Surat,Brinjal,1150
Gujarat,Surat,Cabbage,1100
Gujarat,Surat,Tomato,1300
Gujarat,Surat,Bhindi(Ladies Finger),3755
Gujarat,Surat,Brinjal,1182
Gujarat,Surat,Cowpea(Veg),2927
Gujarat,Surat,Paddy(Dhan)(Common),1475
Gujarat,Surat,Pegeon Pea (Arhar Fali),3005
Gujarat,Surat,Surat Beans (Papadi),3147
Gujarat,Surat,Tomato,1387
Gujarat,Surat,Bhindi(Ladies Finger),3755
Gujarat,Surat,Brinjal,1182
Gujarat,Surat,Cowpea(Veg),2927
Gujarat,Surat,Paddy(Dhan)(Common),1475
Gujarat,Surat,Pegeon Pea (Arhar Fali),3005
Gujarat,Surat,Surat Beans (Papadi),3147
Gujarat,Surat,Tomato,1387
Gujarat,Surat,Bitter gourd,5025
Gujarat,Surat,Bottle gourd,1050
Gujarat,Surat,Brinjal,650
Gujarat,Surat,Cabbage,950
Gujarat,Surat,Cauliflower,2250
Gujarat,Surat,Cucumbar(Kheera),2500
Gujarat,Surat,Gram Raw(Chholia),2000
Gujarat,Surat,Guar,5200
