city,max_temp_1,max_temp_2,max_temp_3,max_temp_4,max_temp_5,max_temp_6,max_temp_7,max_temp_8,max_temp_9,max_temp_10,max_temp_11,max_temp_12,min_temp_1,min_temp_2,min_temp_3,min_temp_4,min_temp_5,min_temp_6,min_temp_7,min_temp_8,min_temp_9,min_temp_10,min_temp_11,min_temp_12
agra,23.0,25.0,31.0,46.0,47.0,49.0,32.0,37.0,39.0,37.0,34.0,29.0,11.0,12.0,14.0,26.0,33.0,35.0,27.0,30.0,32.0,27.0,21.0,16.0
ahmednagar,30.0,35.0,38.0,44.0,46.0,45.0,33.0,31.0,34.0,36.0,36.0,33.0,15.0,16.0,20.0,23.0,26.0,26.0,27.0,26.0,26.0,23.0,21.0,17.0
alappuzha,32.0,32.0,32.0,31.0,31.0,27.0,29.0,27.0,28.0,29.0,29.0,31.0,24.0,24.0,24.0,27.0,27.0,26.0,26.0,25.0,25.0,25.0,25.0,25.0
aligarh,21.0,25.0,30.0,45.0,48.0,49.0,34.0,36.0,39.0,38.0,33.0,28.0,10.0,11.0,13.0,24.0,32.0,33.0,26.0,29.0,30.0,25.0,20.0,15.0
ambala,22.0,23.0,30.0,42.0,47.0,47.0,36.0,33.0,38.0,36.0,33.0,26.0,10.0,9.0,11.0,22.0,30.0,31.0,27.0,25.0,26.0,23.0,18.0,13.0
baghpat,22.0,24.0,28.0,45.0,49.0,48.0,38.0,35.0,38.0,37.0,35.0,29.0,9.0,10.0,11.0,22.0,32.0,32.0,26.0,26.0,28.0,24.0,20.0,14.0
bahraich,24.0,25.0,31.0,44.0,46.0,49.0,36.0,36.0,30.0,36.0,32.0,28.0,13.0,11.0,13.0,25.0,28.0,32.0,27.0,26.0,25.0,24.0,19.0,15.0
ballia,25.0,23.0,31.0,44.0,46.0,49.0,37.0,30.0,33.0,35.0,33.0,30.0,14.0,10.0,14.0,25.0,29.0,34.0,28.0,27.0,27.0,26.0,20.0,15.0
bangalore,24.0,34.0,34.0,38.0,39.0,30.0,29.0,28.0,30.0,21.0,23.0,27.0,18.0,19.0,17.0,24.0,23.0,21.0,20.0,22.0,22.0,19.0,18.0,16.0
bankura,26.0,30.0,36.0,41.0,46.0,47.0,35.0,29.0,35.0,33.0,33.0,32.0,16.0,15.0,21.0,25.0,26.0,30.0,27.0,26.0,27.0,26.0,20.0,17.0
bhadohi(sant_ravi_nagar),18.0,15.0,11.0,15.0,18.0,29.0,31.0,35.0,31.0,22.0,21.0,12.0,9.0,5.0,3.0,10.0,12.0,18.0,20.0,23.0,21.0,16.0,15.0,6.0
bishnupur,28.0,30.0,37.0,37.0,39.0,41.0,34.0,34.0,35.0,31.0,33.0,33.0,17.0,17.0,22.0,26.0,25.0,29.0,28.0,28.0,27.0,27.0,21.0,19.0
bulandshahar,26.0,25.0,35.0,46.0,47.0,50.0,37.0,34.0,34.0,37.0,33.0,30.0,14.0,11.0,14.0,25.0,29.0,33.0,27.0,28.0,27.0,25.0,18.0,15.0
buldhana,32.0,34.0,38.0,47.0,47.0,46.0,32.0,30.0,32.0,34.0,30.0,31.0,25.0,17.0,21.0,29.0,33.0,31.0,27.0,28.0,25.0,23.0,16.0,15.0
burdwan,25.0,30.0,36.0,38.0,45.0,42.0,34.0,32.0,35.0,33.0,32.0,32.0,16.0,15.0,21.0,25.0,26.0,29.0,28.0,24.0,27.0,27.0,20.0,17.0
cachar,30.0,30.0,31.0,30.0,32.0,30.0,30.0,34.0,33.0,29.0,31.0,33.0,20.0,23.0,21.0,21.0,22.0,25.0,25.0,25.0,24.0,24.0,22.0,23.0
