city,Kharif_min,Rabi_min,Autumn_min,Summer_min,Winter_min,Kharif_max,Rabi_max,Autumn_max,Summer_max,Winter_max,Annual_min,Annual_max
agra,31.0,21.33,26.67,24.33,13.0,39.25,33.33,36.67,41.33,25.67,23.67,35.75
ahmednagar,26.25,20.33,23.33,23.0,16.0,35.75,35.0,35.33,42.67,32.67,22.17,36.75
alappuzha,25.5,25.0,25.0,26.0,24.33,27.75,29.67,28.67,31.33,31.67,25.25,29.83
aligarh,29.5,20.0,25.0,23.0,12.0,39.5,33.0,36.67,41.0,24.67,22.33,35.5
ambala,27.25,18.0,22.33,21.0,10.67,38.5,31.67,35.67,39.67,23.67,20.42,34.42
baghpat,28.0,19.33,24.0,21.67,11.0,39.75,33.67,36.67,40.67,25.0,21.17,35.67
bahraich,27.5,19.33,22.67,22.0,13.0,37.75,32.0,32.67,40.33,25.67,21.5,34.75
ballia,29.0,20.33,24.33,22.67,13.0,37.25,32.67,33.67,40.33,26.0,22.42,34.67
bangalore,21.25,17.67,19.67,21.33,17.67,29.25,23.67,24.67,37.0,28.33,19.92,29.75
bankura,27.5,21.0,24.33,24.0,16.0,36.5,32.67,33.67,41.0,29.33,23.0,35.25
bhadohi(sant_ravi_nagar),20.5,12.33,17.33,8.33,6.67,31.5,18.33,24.67,14.67,15.0,13.17,21.5
bishnupur,28.0,22.33,25.0,24.33,17.67,36.0,32.33,33.0,37.67,30.33,23.83,34.33
bulandshahar,28.75,19.33,23.33,22.67,13.33,38.75,33.33,34.67,42.67,27.0,22.17,36.17
buldhana,27.75,18.0,21.33,27.67,19.0,35.0,31.67,32.0,44.0,32.33,24.17,36.08
burdwan,27.0,21.33,24.67,24.0,16.0,35.75,32.33,33.33,39.67,29.0,22.92,34.5
cachar,24.75,23.0,23.33,21.33,22.0,31.75,31.0,31.0,31.0,31.0,22.92,31.08
chandel,26.0,22.67,23.67,24.0,22.0,29.75,31.33,30.0,34.33,33.33,24.0,31.83
chitrakut,28.75,19.33,23.33,22.67,13.33,38.75,33.33,34.67,42.67,27.0,22.17,36.17
coimbatore,23.25,21.0,22.67,22.67,19.33,31.75,31.0,31.33,38.0,31.33,21.92,33.08
dehradoon,22.25,15.33,18.33,19.0,10.33,33.5,27.0,29.33,36.33,20.67,17.42,30.17
dhar,25.0,19.67,21.67,24.33,19.0,34.5,26.67,28.0,41.67,31.67,22.5,34.0
dharmapuri,22.75,19.67,21.33,21.67,18.0,32.5,26.33,27.67,38.67,30.0,21.0,32.25
dhubri,25.0,21.0,23.33,21.33,15.0,30.0,32.0,31.67,32.0,25.67,21.17,30.0
dindigul,23.75,20.33,21.67,22.67,19.67,32.25,30.0,29.67,38.33,30.67,22.0,32.92
east_khasi_hills,25.25,10.33,17.67,15.33,5.33,40.0,21.0,31.67,27.0,10.67,16.0,27.42
erode,24.5,21.67,23.33,23.67,20.0,34.25,32.67,33.0,40.67,32.0,22.92,35.08
faridabad,30.25,22.33,26.67,25.33,14.0,39.25,34.0,38.0,39.67,25.0,24.0,35.42
farukhabad,26.5,14.33,18.67,16.0,7.33,38.75,22.67,30.33,28.33,12.67,17.42,27.67
ganjam,28.25,21.67,24.0,23.0,18.33,37.25,32.67,34.0,39.67,32.0,23.5,35.75
ghaziabad,29.75,21.33,26.0,24.33,13.0,40.25,33.33,37.67,40.0,24.67,23.25,35.67
gurgaon,30.25,22.67,27.33,24.67,13.67,38.75,34.33,37.33,40.67,25.33,23.92,35.58
hooghly,27.25,22.0,25.0,23.33,16.67,35.0,33.0,33.67,38.67,29.33,23.08,34.17
hoshiarpur,26.25,18.0,22.33,20.67,10.67,37.75,30.33,34.67,38.67,22.0,20.0,33.33
imphal_east,20.0,15.67,17.33,15.0,9.0,28.5,30.0,29.0,31.33,24.33,15.42,28.5
imphal_west,20.0,15.67,17.33,15.0,9.0,28.5,30.0,29.0,31.33,24.33,15.42,28.5
jalgaon,26.5,19.33,22.33,26.67,17.33,34.75,33.0,32.33,43.0,32.67,23.25,36.08
jalore,25.5,19.0,22.33,22.67,13.33,34.25,34.0,35.0,41.33,27.67,21.08,34.67
jhabua,24.75,19.67,22.0,23.33,16.0,32.0,33.33,31.33,41.67,31.0,21.58,34.5
jorhat,24.75,20.0,22.33,21.0,15.0,30.5,30.67,30.67,30.67,24.0,20.75,29.17
kangra,25.5,17.0,21.0,20.33,10.33,37.5,30.0,34.0,37.33,22.0,19.42,32.83
kannuj,28.75,19.33,23.33,23.0,13.33,38.75,33.0,34.33,42.67,27.0,22.25,36.08
kannur,25.0,23.0,24.0,25.0,22.67,28.5,31.67,30.33,34.33,33.33,24.17,31.58
kanpur,29.25,20.0,24.0,23.67,13.67,38.0,32.0,34.0,41.33,26.0,22.83,35.17
karimnagar,27.0,19.0,22.0,25.33,16.67,35.5,29.67,30.0,42.67,32.67,22.92,35.42
kolhapur,21.75,17.67,19.33,21.0,17.67,30.5,30.33,30.0,40.0,32.67,20.0,33.25
kollam,25.0,24.67,24.67,25.33,24.33,27.5,29.33,27.67,31.67,32.0,24.92,29.75
kottayam,23.75,23.0,23.33,24.0,22.33,28.5,31.33,29.33,35.33,35.0,23.33,32.0
krishnagiri,22.75,19.0,20.67,22.33,17.67,32.5,24.67,26.0,39.33,29.0,20.92,31.83
kullu,24.5,24.33,25.0,22.0,16.67,35.0,36.33,36.0,39.67,31.33,22.08,35.58
lakhimpur,27.5,19.33,23.0,21.33,13.0,38.5,31.33,33.0,40.67,25.33,21.33,34.83
madurai,26.25,23.0,24.33,25.0,21.33,34.0,32.67,32.0,39.0,32.33,24.33,34.58
malappuram,23.25,20.33,21.67,22.0,20.33,29.75,33.67,32.67,38.67,36.0,21.83,34.08
malda,27.25,22.33,25.33,23.67,15.0,33.75,33.0,33.33,35.67,27.33,22.92,32.67
mansa,29.0,19.67,24.33,21.33,10.67,40.25,35.0,38.33,42.0,25.67,21.42,36.58
mau(maunathbhanjan),28.75,19.67,23.67,22.33,13.0,38.0,33.33,34.67,41.33,26.67,22.08,35.5
mayurbhanja,27.75,21.67,24.33,24.67,18.33,36.5,33.67,34.67,38.33,32.0,23.83,35.42
medinipur(w),27.5,21.33,24.33,24.67,16.67,36.75,32.33,33.33,39.33,29.67,23.33,34.83
mewat,14.25,9.33,11.0,12.0,9.67,23.5,19.0,19.67,22.33,19.0,11.83,21.33
mirzapur,29.0,19.67,23.33,23.33,13.0,39.0,32.33,33.33,41.33,27.33,22.42,35.75
muktsar,28.75,19.0,23.67,21.33,10.33,40.0,36.0,39.33,42.33,26.0,21.17,36.92
muradabad,26.5,18.0,22.0,21.33,11.67,40.5,31.67,36.33,41.33,25.67,20.33,36.0
murshidabad,27.0,22.33,25.33,23.33,15.33,35.75,33.33,34.67,37.33,29.33,22.75,34.25
muzaffarnagar,26.75,18.0,22.0,20.67,11.0,40.0,31.33,35.67,41.33,24.0,20.17,35.42
nadia,27.0,22.0,25.0,23.67,16.0,35.5,34.0,34.67,38.33,29.0,22.92,34.42
