state,district,crop,modal_price,N,P,K,temperature,humidity,ph,rainfall,season
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,cachar,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,cachar,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,dhubri,jute,2800,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,dhubri,rice,4500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,dhubri,rice,2500,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,jorhat,rice,3200,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,sonitpur,jute,3900,78.4,46.86,39.99,24.96,79.64,6.73,174.79,Kharif
Assam,sonitpur,maize,1800,77.76,48.44,19.79,22.39,65.09,6.25,84.77,Kharif
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,sonitpur,rice,2400,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Autumn
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Summer
Assam,sonitpur,rice,2800,79.89,47.58,39.87,23.69,82.27,6.43,236.18,Winter
Kerala,alappuzha,banana,4300,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,alappuzha,banana,2900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,alappuzha,banana,2100,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kannur,coconut,3300,21.98,16.93,30.59,27.41,94.84,5.98,175.69,Whole_Year
Kerala,kollam,banana,6100,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2700,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,5900,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,4800,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2400,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,4200,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
Kerala,kollam,banana,2000,100.23,82.01,50.05,27.38,80.36,5.98,104.63,Whole_Year
