state,city,Annual,Kharif,Rabi,Autumn,Summer,Winter
andaman_and_nicobar_islands,nicobar,233.77,301.8,297.37,332.0,180.23,138.7
andaman_and_nicobar_islands,south_andaman,251.31,439.3,235.1,344.2,161.17,66.0
andaman_and_nicobar_islands,n_&_m_andaman,242.78,471.1,191.57,309.83,135.2,49.53
arunachal_pradesh,lohit,253.65,462.12,77.0,171.6,280.43,50.93
arunachal_pradesh,east_siang,336.22,752.1,89.37,268.13,215.13,48.17
arunachal_pradesh,subansiri_f.d,108.37,197.1,36.13,85.53,109.1,29.3
arunachal_pradesh,tirap,297.62,596.38,94.83,226.63,262.2,45.93
arunachal_pradesh,anjaw_(lohit),253.65,462.12,77.0,171.6,280.43,50.93
arunachal_pradesh,lower_dibang,212.78,268.35,95.73,165.97,318.37,97.87
arunachal_pradesh,changlang,295.32,408.02,138.03,231.17,418.83,105.13
arunachal_pradesh,papum_pare,281.52,561.43,81.73,242.07,262.0,37.53
arunachal_pradesh,low_subansiri,160.09,249.05,51.73,106.9,187.63,78.0
arunachal_pradesh,upper_siang,366.84,639.7,141.17,345.93,389.6,107.57
arunachal_pradesh,west_siang,203.39,403.12,63.33,150.53,181.83,40.73
arunachal_pradesh,dibang_valley,212.78,268.35,95.73,165.97,318.37,97.87
arunachal_pradesh,west_kameng,283.28,621.3,100.4,255.03,178.1,35.23
arunachal_pradesh,east_kameng,169.24,311.58,66.6,149.5,153.8,50.2
arunachal_pradesh,tawang(w_kame,283.28,621.3,100.4,255.03,178.1,35.23
arunachal_pradesh,kurung_kumey,185.12,314.12,55.67,136.03,215.1,65.03
assam,cachar,249.93,472.48,76.2,192.67,272.4,24.97
assam,darrang,163.15,314.77,40.63,111.37,180.77,14.6
assam,goalpara,214.61,427.52,61.53,161.43,215.83,12.77
assam,kamrup,151.12,286.92,43.07,103.37,167.9,13.43
assam,lakhimpur,238.28,506.3,61.23,195.8,191.37,32.23
assam,north_cachar,164.79,247.2,83.23,142.53,224.93,25.13
assam,nagaon,138.34,281.23,50.8,120.07,116.1,15.1
assam,sivasagar,150.97,292.38,42.3,104.5,153.97,21.2
assam,barpeta,272.88,610.25,58.4,208.2,207.07,16.63
assam,dhubri,225.22,479.12,59.47,171.47,195.23,8.7
assam,dibrugarh,213.05,412.85,59.8,162.27,214.03,34.07
assam,jorhat,173.58,324.78,54.3,140.0,187.37,24.83
assam,karimganj,304.23,536.98,113.47,248.63,371.37,20.53
assam,kokrajhar,314.35,706.6,61.23,213.5,241.1,14.97
assam,shonitpur,164.88,328.6,47.73,119.93,159.47,18.37
assam,golaghat,140.06,262.4,46.0,110.87,148.9,20.37
assam,tinsukia,207.11,404.45,54.23,156.93,206.6,34.63
assam,hailakandi,220.47,405.28,65.4,168.03,259.67,19.47
assam,dhemaji(lakhi,238.28,506.3,61.23,195.8,191.37,32.23
assam,karbi_anglong,111.75,216.75,45.87,103.1,99.83,16.03
assam,udalguri(dara,163.15,314.77,40.63,111.37,180.77,14.6
assam,kamrup_metrop,151.12,286.92,43.07,103.37,167.9,13.43
assam,chirang(bongai,268.22,574.02,66.17,197.77,227.63,17.6
assam,baksa_barpeta,272.88,610.25,58.4,208.2,207.07,16.63
assam,bongaigaon,268.22,574.02,66.17,197.77,227.63,17.6
assam,morigaon,145.29,303.88,49.13,120.2,112.5,17.1
assam,nalbari,196.38,391.08,45.6,117.4,207.33,12.77
meghalaya,east_khasi_hi,513.84,1155.45,109.63,308.67,391.97,16.73
meghalaya,jaintia_hills,531.66,1166.88,212.77,484.97,332.07,29.2
