state,city,Annual,Kharif,Rabi,Autumn,Summer,Winter
andaman_and_nicobar_islands,south_andaman,251.31,439.3,235.1,344.2,161.17,66.0
assam,cachar,249.93,472.48,76.2,192.67,272.4,24.97
assam,lakhimpur,238.28,506.3,61.23,195.8,191.37,32.23
assam,dhubri,225.22,479.12,59.47,171.47,195.23,8.7
assam,jorhat,173.58,324.78,54.3,140.0,187.37,24.83
manipur,imphal_east,153.27,291.05,62.77,123.07,146.3,18.67
manipur,chandel,220.62,501.78,103.6,223.07,97.73,14.67
manipur,thoubal,107.19,208.4,43.93,76.43,93.13,16.93
manipur,bishnupur,177.29,333.58,102.97,171.1,126.6,39.83
manipur,imphal_west,127.58,242.95,66.1,113.1,102.5,24.27
tripura,north_tripura,220.15,381.92,77.33,166.23,277.1,21.3
west_bengal,malda,118.28,279.32,40.83,132.9,51.83,10.3
west_bengal,bankura,110.91,262.8,41.5,119.1,41.73,13.17
west_bengal,burdwan,109.6,257.18,39.07,120.77,45.47,12.97
west_bengal,hooghly,118.22,266.98,41.67,120.47,62.43,15.13
west_bengal,murshidabad,115.92,269.82,47.93,131.17,46.67,11.5
west_bengal,nadia,105.13,238.75,39.47,108.23,52.8,12.53
orissa,ganjam,108.71,208.35,92.67,159.87,52.37,14.93
orissa,gajapati,121.84,232.58,69.07,142.83,93.37,16.57
uttar_pradesh,bahraich,95.72,248.45,21.2,86.37,18.13,15.57
uttar_pradesh,ballia,77.35,206.8,16.53,70.2,10.73,7.27
uttar_pradesh,mirzapur,83.6,225.28,15.8,91.3,8.03,11.83
uttar_pradesh,sonbhadra,85.42,229.22,15.9,83.9,9.5,13.0
uttar_pradesh,agra,64.55,171.8,12.6,52.83,7.4,10.7
uttar_pradesh,aligarh,64.25,163.92,16.6,58.83,11.13,12.9
uttar_pradesh,bulandshahar,64.92,167.68,15.97,59.6,10.33,12.3
uttar_pradesh,muzaffarnagar,72.42,184.2,17.7,59.3,11.53,19.0
uttar_pradesh,saharanpur,80.32,201.15,19.23,58.07,16.07,22.77
uttar_pradesh,ghaziabad,63.86,160.43,16.7,56.67,12.2,15.33
haryana,ambala,92.06,229.15,21.37,73.6,17.83,30.47
haryana,gurgaon,45.33,118.07,7.5,32.77,9.1,8.73
haryana,faridabad,58.13,150.05,10.47,48.8,12.4,11.83
haryana,mewat,47.67,125.45,9.97,41.37,7.1,8.03
punjab,hoshiarpur,77.76,179.48,20.27,55.53,25.4,32.73
punjab,muktsar,33.29,77.95,7.4,24.93,12.03,12.3
punjab,mansa,34.98,83.7,8.97,30.47,9.13,12.33
himachal,kangra,168.32,395.52,34.87,99.27,56.63,67.97
himachal,kullu,90.68,129.93,32.57,47.33,95.6,75.4
rajasthan,jalore,35.59,98.55,5.93,27.73,4.07,1.3
rajasthan,tonk,51.16,141.5,7.27,32.83,5.27,4.43
madhya_pradesh,dhar,73.84,206.7,16.23,72.83,2.1,2.37
madhya_pradesh,jhabua,67.73,186.32,18.33,66.53,3.2,2.17
madhya_pradesh,sheopur,65.99,181.85,12.7,46.97,4.43,6.2
maharashtra,ahmednagar,47.77,109.4,34.6,78.47,9.97,3.13
maharashtra,jalgaon,60.91,160.45,23.4,62.1,4.4,4.23
maharashtra,kolhapur,166.07,434.4,54.23,113.53,30.23,3.03
maharashtra,pune,84.64,215.25,39.13,92.5,12.2,2.23
maharashtra,satara,76.04,180.95,44.6,89.67,17.83,3.23
maharashtra,buldhana,62.24,161.65,25.23,62.93,5.67,4.87
maharashtra,nagpur,89.03,230.98,27.77,82.53,12.2,12.23
andhra_pradesh,karimnagar,81.65,200.08,37.53,89.93,16.83,7.43
tamil_nadu,vellore,78.02,116.52,116.23,151.43,35.5,24.4
tamil_nadu,coimbatore,57.44,47.45,109.63,116.87,50.1,22.57
tamil_nadu,dharmapuri,75.18,98.35,110.03,148.8,53.47,21.5
tamil_nadu,madurai,77.32,83.98,139.7,163.6,48.27,29.9
tamil_nadu,salem,83.16,110.15,123.5,158.07,56.93,23.93
tamil_nadu,erode,58.58,57.45,104.87,125.07,47.47,20.43
tamil_nadu,dindigul,77.56,73.85,145.47,158.3,56.0,40.07
tamil_nadu,sivaganga,72.73,75.25,140.9,144.83,40.4,38.33
tamil_nadu,namakkal,66.12,84.82,97.2,128.5,49.53,16.63
tamil_nadu,krishnagiri,70.89,99.75,96.47,142.03,50.53,15.1
kerala,alappuzha,236.77,436.48,190.7,265.77,159.27,32.33
kerala,kottayam,244.21,474.32,178.37,254.93,153.4,26.33
kerala,malappuram,236.26,515.1,149.43,212.27,106.93,9.47
kerala,kollam,207.64,333.08,212.87,267.33,156.53,35.23
kerala,kasargod,301.8,751.87,112.63,194.2,90.97,7.23
assam,sonitpur,70.8,172.2,16.8,62.0,8.0,8.0
gujrat,panchmahals,70.0,180.0,15.0,60.0,10.0,10.0
gujrat,vadodara,65,165,15,55,16,30
haryana,panipat,55,140,40,40,13,52
haryana,sonipat,57,135,40,30,30,35
karnataka,bangalore,82,205,20,60,10,10
kerala,kannur,250,600,50,150,20,20
kerala,thirssur,321,800,50,200,20,24
kerala,thiruvananthapuram,270,675,50,175,20,20
madhya_pradesh,sehore,80,200,20,30,30,13
madhya_pradesh,raisen,30,75,20,20,14,16
maharashtra,sholapur,73,183,20,50,52,23
meghalaya,east_khasi_hills,356,890,20,60,20,20
odisha,mayurbhanja,284,710,25,24,50,24
odisha,nowarangpur,340,850,20,64,24,25
odisha,sundergarh,345,865,20,50,20,20
punjab,firozpur,123,310,20,43,25,5
punjab,ludhiana,32,80,24,25,25,23
punjab,jalandhar,24,60,23,22,20,23
punjab,tarntaran,67,170,25,3,20,24
tamil_nadu,villupuram,562,1400,34,100,40,23
uttar_pradesh,meerut,43,108,23,33,25,24
uttar_pradesh,baghpat,40,124,24,22,32,25
uttar_pradesh,bhadohi,24,64,34,64,13,23
madhya_pradesh,chitrakut,30,75,20,20,14,16
uttar_pradesh,farukhabad,24,64,34,64,13,23
uttar_pradesh,kannuj,65,165,15,55,16,30
uttar_pradesh,kanpur,45,115,23,33,25,24
uttar_pradesh,mau,84,210,20,60,12,13
uttar_pradesh,muradabad,40,124,24,22,32,25
uttarakhand,dehradoon,95,240,20,64,30,10
west_bengal,medinipur,234,585,20,50,20,20
west_bengal,puruliya,564,1420,12,54,24,23
west_bengal,south_24_parganas,152,380,20,66,34,22
west_bengal,uttar_dinajpur,456,1140,23,24,32,23
