month,avg_temp,city,min_temp,max_temp
2022-01-01,28,South_Andaman,28,28
2022-02-01,28,South_Andaman,27,28
2022-03-01,28,South_Andaman,27,29
2022-04-01,29,South_Andaman,28,30
2022-05-01,29,South_Andaman,28,31
2022-06-01,26,South_Andaman,25,27
2022-07-01,28,South_Andaman,28,29
2022-08-01,28,South_Andaman,27,28
2022-09-01,28,South_Andaman,27,28
2022-10-01,27,South_Andaman,27,28
2022-11-01,28,South_Andaman,27,28
2022-12-01,28,South_Andaman,27,29
2022-01-01,26,Cachar,20,30
2022-02-01,27,Cachar,23,30
2022-03-01,26,Cachar,21,31
2022-04-01,26,Cachar,21,30
2022-05-01,28,Cachar,22,32
2022-06-01,28,Cachar,25,30
2022-07-01,28,Cachar,25,30
2022-08-01,30,Cachar,25,34
2022-09-01,29,Cachar,24,33
2022-10-01,27,Cachar,24,29
2022-11-01,27,Cachar,22,31
2022-12-01,28,Cachar,23,33
2022-01-01,21,Dhubri,14,25
2022-02-01,19,Dhubri,13,23
2022-03-01,27,Dhubri,18,32
2022-04-01,29,Dhubri,24,33
2022-05-01,28,Dhubri,22,31
2022-06-01,31,Dhubri,25,34
2022-07-01,30,Dhubri,25,32
2022-08-01,26,Dhubri,25,26
2022-09-01,27,Dhubri,25,28
2022-10-01,32,Dhubri,26,36
2022-11-01,25,Dhubri,19,31
2022-12-01,25,Dhubri,18,29
2022-01-01,19,Jorhat,13,24
2022-02-01,17,Jorhat,14,20
2022-03-01,25,Jorhat,17,30
2022-04-01,29,Jorhat,24,32
2022-05-01,27,Jorhat,22,30
2022-06-01,29,Jorhat,25,33
2022-07-01,27,Jorhat,24,31
2022-08-01,28,Jorhat,25,30
2022-09-01,26,Jorhat,25,28
2022-10-01,31,Jorhat,25,35
2022-11-01,24,Jorhat,17,29
2022-12-01,23,Jorhat,18,28
2022-01-01,19,"Sonitpur,Assam",12,24
2022-02-01,18,"Sonitpur,Assam",14,21
2022-03-01,27,"Sonitpur,Assam",17,33
2022-04-01,29,"Sonitpur,Assam",23,35
2022-05-01,26,"Sonitpur,Assam",22,30
2022-06-01,31,"Sonitpur,Assam",25,34
2022-07-01,29,"Sonitpur,Assam",25,32
2022-08-01,27,"Sonitpur,Assam",25,28
2022-09-01,27,"Sonitpur,Assam",25,29
2022-10-01,32,"Sonitpur,Assam",25,37
2022-11-01,26,"Sonitpur,Assam",18,31
2022-12-01,24,"Sonitpur,Assam",16,30
2022-01-01,24,PanchmahalsVadodara(Baroda),17,30
2022-02-01,24,PanchmahalsVadodara(Baroda),18,30
2022-03-01,23,PanchmahalsVadodara(Baroda),18,27
2022-04-01,25,PanchmahalsVadodara(Baroda),17,32
2022-05-01,20,PanchmahalsVadodara(Baroda),16,25
2022-06-01,21,PanchmahalsVadodara(Baroda),17,26
2022-07-01,18,PanchmahalsVadodara(Baroda),15,20
2022-08-01,16,PanchmahalsVadodara(Baroda),14,18
2022-09-01,18,PanchmahalsVadodara(Baroda),15,21
2022-10-01,20,PanchmahalsVadodara(Baroda),15,23
2022-11-01,20,PanchmahalsVadodara(Baroda),15,24
2022-12-01,21,PanchmahalsVadodara(Baroda),14,26
2022-01-01,17,Ambala,10,22
2022-02-01,17,Ambala,9,23
2022-03-01,21,Ambala,11,30
2022-04-01,35,Ambala,22,42
2022-05-01,41,Ambala,30,47
2022-06-01,42,Ambala,31,47
2022-07-01,33,Ambala,27,36
2022-08-01,31,Ambala,25,33
2022-09-01,33,Ambala,26,38
2022-10-01,30,Ambala,23,36
2022-11-01,26,Ambala,18,33
2022-12-01,21,Ambala,13,26
2022-01-01,18,Faridabad,12,23
2022-02-01,19,Faridabad,12,24
2022-03-01,24,Faridabad,15,29
2022-04-01,37,Faridabad,27,42
2022-05-01,42,Faridabad,34,48
2022-06-01,43,Faridabad,34,48
2022-07-01,32,Faridabad,27,34
2022-08-01,33,Faridabad,29,35
2022-09-01,35,Faridabad,31,40
2022-10-01,34,Faridabad,27,39
2022-11-01,30,Faridabad,22,35
2022-12-01,24,Faridabad,18,28
2022-01-01,18,Gurgaon,11,23
2022-02-01,19,Gurgaon,13,24
2022-03-01,23,Gurgaon,14,29
2022-04-01,37,Gurgaon,26,44
2022-05-01,42,Gurgaon,34,49
2022-06-01,43,Gurgaon,34,48
2022-07-01,32,Gurgaon,27,34
2022-08-01,32,Gurgaon,29,35
2022-09-01,36,Gurgaon,31,38
2022-10-01,34,Gurgaon,28,38
2022-11-01,30,Gurgaon,23,36
2022-12-01,24,Gurgaon,17,29
2022-01-01,15,Mewat,11,18
2022-02-01,16,Mewat,10,20
2022-03-01,16,Mewat,12,20
2022-04-01,19,Mewat,11,24
2022-05-01,19,Mewat,13,23
2022-06-01,24,Mewat,16,29
2022-07-01,20,Mewat,14,23
2022-08-01,18,Mewat,14,21
2022-09-01,18,Mewat,13,21
2022-10-01,16,Mewat,11,18
2022-11-01,16,Mewat,9,20
2022-12-01,15,Mewat,8,19
2022-01-01,15,Kangra,9,20
2022-02-01,16,Kangra,10,22
2022-03-01,19,Kangra,13,23
2022-04-01,33,Kangra,21,41
2022-05-01,40,Kangra,27,48
2022-06-01,42,Kangra,29,48
2022-07-01,30,Kangra,26,33
2022-08-01,29,Kangra,23,33
2022-09-01,31,Kangra,24,36
2022-10-01,29,Kangra,21,34
2022-11-01,26,Kangra,18,32
2022-12-01,19,Kangra,12,24
2022-01-01,24,Kullu,17,31
2022-02-01,20,Kullu,11,28
2022-03-01,27,Kullu,16,35
2022-04-01,34,Kullu,23,40
2022-05-01,37,Kullu,27,44
2022-06-01,35,Kullu,26,41
2022-07-01,32,Kullu,27,36
2022-08-01,25,Kullu,21,29
2022-09-01,29,Kullu,24,34
2022-10-01,33,Kullu,27,38
2022-11-01,30,Kullu,24,36
2022-12-01,29,Kullu,22,35
2022-01-01,22,Bangalore,18,24
2022-02-01,27,Bangalore,19,34
2022-03-01,27,Bangalore,17,34
2022-04-01,33,Bangalore,24,38
2022-05-01,33,Bangalore,23,39
2022-06-01,26,Bangalore,21,30
2022-07-01,25,Bangalore,20,29
2022-08-01,26,Bangalore,22,28
2022-09-01,26,Bangalore,22,30
2022-10-01,20,Bangalore,19,21
2022-11-01,21,Bangalore,18,23
2022-12-01,23,Bangalore,16,27
2022-01-01,28,Alappuzha,24,32
2022-02-01,28,Alappuzha,24,32
2022-03-01,29,Alappuzha,24,32
2022-04-01,29,Alappuzha,27,31
2022-05-01,30,Alappuzha,27,31
2022-06-01,26,Alappuzha,26,27
2022-07-01,28,Alappuzha,26,29
2022-08-01,26,Alappuzha,25,27
2022-09-01,26,Alappuzha,25,28
2022-10-01,27,Alappuzha,25,29
2022-11-01,27,Alappuzha,25,29
2022-12-01,28,Alappuzha,25,31
2022-01-01,28,Kannur,23,34
2022-02-01,28,Kannur,23,33
2022-03-01,29,Kannur,23,33
2022-04-01,30,Kannur,25,34
2022-05-01,32,Kannur,27,36
2022-06-01,27,Kannur,26,29
2022-07-01,27,Kannur,24,29
2022-08-01,26,Kannur,25,27
2022-09-01,27,Kannur,25,29
2022-10-01,27,Kannur,24,30
2022-11-01,28,Kannur,23,32
2022-12-01,28,Kannur,22,33
2022-01-01,29,"kasargod,kerala",23,33
2022-02-01,29,"kasargod,kerala",23,32
2022-03-01,30,"kasargod,kerala",23,35
2022-04-01,30,"kasargod,kerala",25,33
2022-05-01,30,"kasargod,kerala",25,33
2022-06-01,27,"kasargod,kerala",24,28
2022-07-01,28,"kasargod,kerala",25,31
2022-08-01,26,"kasargod,kerala",25,28
2022-09-01,25,"kasargod,kerala",24,27
2022-10-01,26,"kasargod,kerala",23,28
2022-11-01,26,"kasargod,kerala",24,29
2022-12-01,28,"kasargod,kerala",22,33
2022-01-01,28,Kollam,25,32
2022-02-01,28,Kollam,24,32
2022-03-01,29,Kollam,24,33
2022-04-01,29,Kollam,26,31
2022-05-01,30,Kollam,26,31
2022-06-01,26,Kollam,26,27
2022-07-01,27,Kollam,25,29
2022-08-01,26,Kollam,25,27
2022-09-01,26,Kollam,24,27
2022-10-01,26,Kollam,25,28
2022-11-01,27,Kollam,25,28
2022-12-01,28,Kollam,24,32
2022-01-01,29,Kottayam,22,35
2022-02-01,30,Kottayam,22,35
2022-03-01,30,Kottayam,21,38
2022-04-01,30,Kottayam,25,35
2022-05-01,30,Kottayam,26,33
2022-06-01,26,Kottayam,24,28
