month,avg_temp,city,min_temp,max_temp
2022-01-01,19,"sonitpur,assam",12,24
2022-02-01,17,"sonitpur,assam",14,20
2022-03-01,27,"sonitpur,assam",17,33
2022-04-01,29,"sonitpur,assam",23,35
2022-05-01,26,"sonitpur,assam",22,30
2022-06-01,29,"sonitpur,assam",24,33
2022-07-01,29,"sonitpur,assam",25,32
2022-08-01,27,"sonitpur,assam",25,28
2022-09-01,27,"sonitpur,assam",25,29
2022-10-01,32,"sonitpur,assam",25,37
2022-11-01,26,"sonitpur,assam",18,31
2022-12-01,24,"sonitpur,assam",16,30
2022-01-01,24,"panchmahals,gujarat",17,31
2022-02-01,27,"panchmahals,gujarat",18,35
2022-03-01,32,"panchmahals,gujarat",21,39
2022-04-01,35,"panchmahals,gujarat",24,42
2022-05-01,39,"panchmahals,gujarat",28,47
2022-06-01,38,"panchmahals,gujarat",27,45
2022-07-01,32,"panchmahals,gujarat",29,34
2022-08-01,30,"panchmahals,gujarat",27,32
2022-09-01,31,"panchmahals,gujarat",28,34
2022-10-01,31,"panchmahals,gujarat",26,36
2022-11-01,31,"panchmahals,gujarat",23,37
2022-12-01,27,"panchmahals,gujarat",18,34
2022-01-01,24,"vadodara(baroda),maharashtra",17,30
2022-02-01,24,"vadodara(baroda),maharashtra",18,30
2022-03-01,23,"vadodara(baroda),maharashtra",18,27
2022-04-01,25,"vadodara(baroda),maharashtra",17,32
2022-05-01,20,"vadodara(baroda),maharashtra",16,25
2022-06-01,21,"vadodara(baroda),maharashtra",17,26
2022-07-01,18,"vadodara(baroda),maharashtra",15,20
2022-08-01,16,"vadodara(baroda),maharashtra",14,18
2022-09-01,18,"vadodara(baroda),maharashtra",15,21
2022-10-01,20,"vadodara(baroda),maharashtra",15,23
2022-11-01,20,"vadodara(baroda),maharashtra",15,24
2022-12-01,21,"vadodara(baroda),maharashtra",14,26
2022-01-01,17,"panipat,haryana",9,22
2022-02-01,17,"panipat,haryana",10,23
2022-03-01,22,"panipat,haryana",11,29
2022-04-01,36,"panipat,haryana",22,45
2022-05-01,42,"panipat,haryana",32,49
2022-06-01,43,"panipat,haryana",32,48
2022-07-01,34,"panipat,haryana",27,39
2022-08-01,32,"panipat,haryana",27,35
2022-09-01,34,"panipat,haryana",28,39
2022-10-01,32,"panipat,haryana",24,37
2022-11-01,28,"panipat,haryana",20,35
2022-12-01,22,"panipat,haryana",14,29
2022-01-01,16,"sonipat,haryana",10,21
2022-02-01,18,"sonipat,haryana",11,24
2022-03-01,22,"sonipat,haryana",12,30
2022-04-01,36,"sonipat,haryana",23,45
2022-05-01,42,"sonipat,haryana",32,47
2022-06-01,43,"sonipat,haryana",32,48
2022-07-01,33,"sonipat,haryana",27,38
2022-08-01,32,"sonipat,haryana",27,36
2022-09-01,35,"sonipat,haryana",29,39
2022-10-01,33,"sonipat,haryana",26,38
2022-11-01,29,"sonipat,haryana",21,36
2022-12-01,23,"sonipat,haryana",15,29
2022-01-01,22,"bangalore,karnataka",18,24
2022-02-01,27,"bangalore,karnataka",19,34
2022-03-01,27,"bangalore,karnataka",17,34
2022-04-01,33,"bangalore,karnataka",24,38
2022-05-01,33,"bangalore,karnataka",23,39
2022-06-01,26,"bangalore,karnataka",21,30
2022-07-01,25,"bangalore,karnataka",20,29
